outlet_id,date,revenue,transactions,cost
1,2026-06-20,51356.6,213,29478.78
1,2026-06-21,46661.12,194,28263.28
1,2026-06-22,44582.27,185,30238.9
1,2026-06-23,46282.6,192,27024.88
1,2026-06-24,41147.39,171,23650.18
1,2026-06-25,38927.53,162,25336.25
1,2026-06-26,36829.77,153,22164.67
1,2026-06-27,51491.35,214,33839.63
1,2026-06-28,45957.71,191,30528.9
1,2026-06-29,45378.98,189,25913.2
1,2026-06-30,45339.55,188,30908.08
1,2026-07-01,40255.54,167,23947.08
1,2026-07-02,46992.77,195,29316.68
1,2026-07-03,37552.78,156,21986.2
1,2026-07-04,54037.67,225,36021.3
1,2026-07-05,53517.53,222,36753.54
1,2026-07-06,42395.61,176,30766.43
1,2026-07-07,40673.6,169,26776.51
1,2026-07-08,45597.1,189,30502.78
1,2026-07-09,45949.84,191,30436.09
1,2026-07-10,44233.92,184,25537.65
1,2026-07-11,46053.81,191,28383.06
1,2026-07-12,44145.37,183,26807.12
1,2026-07-13,37642.94,156,23130.67
1,2026-07-14,43481.67,181,27322.71
1,2026-07-15,40582.38,169,24492.32
1,2026-07-16,39455.4,164,28402.55
1,2026-07-17,43616.55,181,29112.34
1,2026-07-18,45322.42,188,31121.11
1,2026-07-19,45222.74,188,28522.56
1,2026-07-20,47345.59,197,31835.17
1,2026-07-21,42621.89,177,28963.21
1,2026-07-22,45743.94,190,31753.61
1,2026-07-23,39041.2,162,22454.0
1,2026-07-24,39984.75,166,24504.2
1,2026-07-25,45835.84,190,33041.48
1,2026-07-26,54409.72,226,33752.99
1,2026-07-27,43697.39,182,27673.61
1,2026-07-28,46526.86,193,29936.14
1,2026-07-29,39432.49,164,24032.54
1,2026-07-30,42670.14,177,26115.78
1,2026-07-31,42923.68,178,30632.56
1,2026-08-01,48263.72,201,29203.96
1,2026-08-02,55971.07,233,36466.51
1,2026-08-03,37532.73,156,21676.6
1,2026-08-04,37737.37,157,25298.81
1,2026-08-05,45189.51,188,28810.37
1,2026-08-06,37233.72,155,23496.68
1,2026-08-07,47417.65,197,31042.36
1,2026-08-08,55630.13,231,39370.82
1,2026-08-09,43265.14,180,29650.27
1,2026-08-10,43984.28,183,28849.96
1,2026-08-11,39453.73,164,26534.76
1,2026-08-12,37758.15,157,24148.69
1,2026-08-13,41494.66,172,29984.48
1,2026-08-14,46104.31,192,28222.4
1,2026-08-15,49567.55,206,29670.36
1,2026-08-16,54876.96,228,38923.29
1,2026-08-17,39799.02,165,26754.17
1,2026-08-18,43189.95,179,25674.45
1,2026-08-19,44866.62,186,29445.99
1,2026-08-20,45042.6,187,29496.44
1,2026-08-21,36546.25,152,22726.83
1,2026-08-22,43368.17,180,31166.79
1,2026-08-23,54440.06,226,38274.98
1,2026-08-24,39898.05,166,23111.66
1,2026-08-25,46127.86,192,33281.8
1,2026-08-26,37475.34,156,24274.97
1,2026-08-27,37295.8,155,25797.37
1,2026-08-28,44902.91,187,26517.08
1,2026-08-29,49241.5,205,32399.36
1,2026-08-30,46532.61,193,33019.04
1,2026-08-31,41160.67,171,24856.42
1,2026-09-01,42429.11,176,29139.84
1,2026-09-02,38736.57,161,24011.82
1,2026-09-03,47407.03,197,31951.41
1,2026-09-04,41324.05,172,26976.84
1,2026-09-05,44676.41,186,27071.74
1,2026-09-06,47473.64,197,31528.64
1,2026-09-07,39052.85,162,23636.14
1,2026-09-08,37315.24,155,25037.65
1,2026-09-09,39040.04,162,27908.44
1,2026-09-10,45927.22,191,26699.2
1,2026-09-11,39139.01,163,26498.54
1,2026-09-12,45877.77,191,27121.56
1,2026-09-13,55171.86,229,36488.84
1,2026-09-14,41701.57,173,29005.07
1,2026-09-15,45357.87,188,27235.84
1,2026-09-16,37598.48,156,24024.23
1,2026-09-17,41165.48,171,26540.37
2,2026-06-20,40042.54,166,28018.56
2,2026-06-21,34362.14,143,23915.36
2,2026-06-22,27841.25,116,19754.67
2,2026-06-23,33890.26,141,20523.58
2,2026-06-24,33551.69,139,21595.5
2,2026-06-25,29429.84,122,20520.11
2,2026-06-26,28804.42,120,16527.58
2,2026-06-27,33661.42,140,20954.97
2,2026-06-28,40045.29,166,29020.91
2,2026-06-29,29219.75,121,19654.29
2,2026-06-30,30191.41,125,21948.67
2,2026-07-01,31291.9,130,22538.87
2,2026-07-02,27899.65,116,20234.61
2,2026-07-03,28409.26,118,20568.46
2,2026-07-04,34349.4,143,20174.93
2,2026-07-05,35957.65,149,24687.34
2,2026-07-06,29498.24,122,19675.13
2,2026-07-07,31092.07,129,19638.72
2,2026-07-08,31617.3,131,19310.44
2,2026-07-09,32682.81,136,18638.05
2,2026-07-10,34430.14,143,22591.42
2,2026-07-11,38666.95,161,26630.39
2,2026-07-12,38202.81,159,24001.89
2,2026-07-13,27533.99,114,18620.63
2,2026-07-14,29631.41,123,18378.19
2,2026-07-15,33805.0,140,23161.86
2,2026-07-16,29390.6,122,18207.05
2,2026-07-17,30261.65,126,19197.51
2,2026-07-18,34636.52,144,20448.23
2,2026-07-19,35823.38,149,25809.25
2,2026-07-20,32429.18,135,23168.99
2,2026-07-21,31931.05,133,19738.24
2,2026-07-22,31386.37,130,17892.27
2,2026-07-23,29282.52,122,18705.15
2,2026-07-24,31644.68,131,21352.34
2,2026-07-25,36247.01,151,23225.11
2,2026-07-26,33857.07,141,21861.84
2,2026-07-27,34233.52,142,23873.22
2,2026-07-28,28337.71,118,16536.96
2,2026-07-29,31124.54,129,20892.99
2,2026-07-30,29671.62,123,20798.26
2,2026-07-31,33024.17,137,22378.74
2,2026-08-01,33961.11,141,20439.86
2,2026-08-02,32056.9,133,19528.26
2,2026-08-03,30799.6,128,21743.22
2,2026-08-04,27557.0,114,17534.81
2,2026-08-05,32045.91,133,19263.11
2,2026-08-06,32582.62,135,21149.39
2,2026-08-07,28936.51,120,19531.26
2,2026-08-08,31877.34,132,22000.28
2,2026-08-09,39148.36,163,22982.2
2,2026-08-10,30396.68,126,18181.53
2,2026-08-11,34691.21,144,22648.96
2,2026-08-12,27374.76,114,16695.09
2,2026-08-13,33807.59,140,21739.43
2,2026-08-14,33429.42,139,22625.45
2,2026-08-15,41220.25,171,27422.69
2,2026-08-16,40860.24,170,29118.16
2,2026-08-17,31907.98,132,21859.64
2,2026-08-18,31038.51,129,21816.69
2,2026-08-19,31385.85,130,22395.48
2,2026-08-20,32963.86,137,21292.94
2,2026-08-21,29059.08,121,17713.21
2,2026-08-22,37889.27,157,26239.46
2,2026-08-23,36782.58,153,24654.62
2,2026-08-24,29183.26,121,16996.25
2,2026-08-25,29272.97,121,17958.22
2,2026-08-26,29546.86,123,19395.28
2,2026-08-27,28085.29,117,17047.82
2,2026-08-28,32563.24,135,22241.57
2,2026-08-29,32435.47,135,20603.53
2,2026-08-30,36985.27,154,23542.01
2,2026-08-31,28637.09,119,18248.21
2,2026-09-01,34263.0,142,22731.88
2,2026-09-02,32575.92,135,23033.69
2,2026-09-03,33140.69,138,20907.17
2,2026-09-04,27017.52,112,16920.57
2,2026-09-05,38990.75,162,27548.98
2,2026-09-06,40892.49,170,26050.29
2,2026-09-07,32994.98,137,21690.28
2,2026-09-08,31832.22,132,19267.6
2,2026-09-09,28738.54,119,18385.01
2,2026-09-10,27203.94,113,16969.29
2,2026-09-11,32443.88,135,20591.83
2,2026-09-12,33394.31,139,21532.06
2,2026-09-13,33038.44,137,22121.25
2,2026-09-14,27187.35,113,17210.77
2,2026-09-15,31519.0,131,18102.51
2,2026-09-16,32150.56,133,19023.87
2,2026-09-17,30691.29,127,17740.96
3,2026-06-20,42532.87,177,24747.88
3,2026-06-21,45129.42,188,26110.86
3,2026-06-22,33625.28,140,22194.51
3,2026-06-23,35112.9,146,25598.25
3,2026-06-24,33329.5,138,23074.38
3,2026-06-25,38022.78,158,26483.57
3,2026-06-26,34361.11,143,22458.82
3,2026-06-27,43098.26,179,27618.89
3,2026-06-28,47748.47,198,34780.22
3,2026-06-29,35127.76,146,23513.27
3,2026-06-30,38054.65,158,26197.36
3,2026-07-01,41305.82,172,24917.57
3,2026-07-02,34220.06,142,23121.42
3,2026-07-03,33700.89,140,20146.73
3,2026-07-04,38836.31,161,22153.32
3,2026-07-05,43098.14,179,28660.69
3,2026-07-06,34991.91,145,21241.36
3,2026-07-07,38990.92,162,26610.45
3,2026-07-08,36557.78,152,24858.62
3,2026-07-09,41078.02,171,28592.46
3,2026-07-10,38203.06,159,25817.22
3,2026-07-11,48582.83,202,30996.93
3,2026-07-12,44165.85,184,29751.07
3,2026-07-13,40928.92,170,28742.78
3,2026-07-14,32876.96,136,19612.67
3,2026-07-15,35149.23,146,24247.11
3,2026-07-16,37665.77,156,23208.81
3,2026-07-17,33386.28,139,22708.96
3,2026-07-18,45927.3,191,33105.69
3,2026-07-19,43665.36,181,28339.13
3,2026-07-20,32963.85,137,18999.63
3,2026-07-21,36346.12,151,22591.71
3,2026-07-22,34598.54,144,20226.73
3,2026-07-23,41443.58,172,29166.06
3,2026-07-24,37723.42,157,27241.06
3,2026-07-25,49330.95,205,33424.93
3,2026-07-26,41043.58,171,23659.04
3,2026-07-27,39465.31,164,25466.18
3,2026-07-28,38457.52,160,27557.57
3,2026-07-29,33935.93,141,22521.67
3,2026-07-30,38296.63,159,24842.11
3,2026-07-31,33067.75,137,20689.62
3,2026-08-01,41767.78,174,28286.03
3,2026-08-02,47720.84,198,29719.04
3,2026-08-03,38863.14,161,23944.16
3,2026-08-04,41282.76,172,28904.97
3,2026-08-05,37481.93,156,24092.34
3,2026-08-06,35215.66,146,21894.41
3,2026-08-07,41523.18,173,26353.43
3,2026-08-08,43825.69,182,31909.44
3,2026-08-09,45449.7,189,29852.04
3,2026-08-10,36165.44,150,21699.74
3,2026-08-11,35670.32,148,24649.29
3,2026-08-12,38206.43,159,26423.51
3,2026-08-13,34148.23,142,22465.27
3,2026-08-14,41114.21,171,26317.15
3,2026-08-15,45910.46,191,27060.92
3,2026-08-16,49030.97,204,32724.22
3,2026-08-17,34492.04,143,20534.51
3,2026-08-18,37489.07,156,24681.31
3,2026-08-19,33086.67,137,24112.28
3,2026-08-20,40972.39,170,26379.32
3,2026-08-21,33320.02,138,23428.74
3,2026-08-22,43641.56,181,29879.48
3,2026-08-23,43760.71,182,26858.05
3,2026-08-24,40220.04,167,29233.5
3,2026-08-25,34534.69,143,22730.82
3,2026-08-26,35880.1,149,25743.93
3,2026-08-27,37079.28,154,26351.96
3,2026-08-28,40501.94,168,24876.27
3,2026-08-29,46952.03,195,29879.84
3,2026-08-30,48589.41,202,31643.27
3,2026-08-31,40083.69,167,24661.66
3,2026-09-01,35062.11,146,23278.09
3,2026-09-02,41799.44,174,27100.35
3,2026-09-03,33619.49,140,22060.2
3,2026-09-04,35510.09,147,23376.53
3,2026-09-05,44153.0,183,28383.98
3,2026-09-06,41636.89,173,24989.81
3,2026-09-07,38899.93,162,25731.82
3,2026-09-08,34436.87,143,23902.19
3,2026-09-09,32609.89,135,22473.2
3,2026-09-10,38974.29,162,27275.2
3,2026-09-11,35904.08,149,24277.99
3,2026-09-12,47301.0,197,34384.56
3,2026-09-13,43606.97,181,25114.26
3,2026-09-14,37022.04,154,24598.51
3,2026-09-15,40556.52,168,28789.88
3,2026-09-16,36425.75,151,23827.98
3,2026-09-17,36585.65,152,25082.79
4,2026-06-20,50708.09,211,36102.21
4,2026-06-21,51274.64,213,32948.21
4,2026-06-22,50127.67,208,34533.07
4,2026-06-23,53565.76,223,34124.62
4,2026-06-24,51023.52,212,30344.89
4,2026-06-25,46937.76,195,27498.18
4,2026-06-26,47867.05,199,30409.87
4,2026-06-27,63289.29,263,36406.19
4,2026-06-28,54733.37,228,35080.88
4,2026-06-29,53622.93,223,37904.55
4,2026-06-30,42999.95,179,29227.45
4,2026-07-01,48554.93,202,35272.96
4,2026-07-02,46236.25,192,29300.02
4,2026-07-03,44128.81,183,26015.94
4,2026-07-04,61765.28,257,39699.93
4,2026-07-05,59037.0,245,39712.58
4,2026-07-06,49212.38,205,28219.22
4,2026-07-07,51579.2,214,31410.24
4,2026-07-08,43331.53,180,28613.22
4,2026-07-09,42616.25,177,29508.56
4,2026-07-10,44345.32,184,26809.06
4,2026-07-11,62084.28,258,38651.78
4,2026-07-12,51449.74,214,36739.49
4,2026-07-13,41795.39,174,29563.76
4,2026-07-14,43565.71,181,25738.57
4,2026-07-15,44888.16,187,26839.51
4,2026-07-16,50010.0,208,28711.98
4,2026-07-17,41945.46,174,29210.72
4,2026-07-18,52780.68,219,32819.21
4,2026-07-19,51842.82,216,29985.05
4,2026-07-20,51016.64,212,33373.74
4,2026-07-21,51065.9,212,32998.75
4,2026-07-22,51469.65,214,33564.29
4,2026-07-23,43120.99,179,28055.13
4,2026-07-24,53558.79,223,30900.12
4,2026-07-25,60810.91,253,43097.72
4,2026-07-26,56955.9,237,36638.98
4,2026-07-27,53791.05,224,31184.4
4,2026-07-28,47737.69,198,30278.05
4,2026-07-29,50322.5,209,32631.27
4,2026-07-30,53113.07,221,30898.98
4,2026-07-31,42768.27,178,28540.45
4,2026-08-01,50244.06,209,30849.98
4,2026-08-02,58599.74,244,38543.22
4,2026-08-03,45818.31,190,33407.98
4,2026-08-04,48381.35,201,31089.59
4,2026-08-05,49315.73,205,28892.54
4,2026-08-06,50518.21,210,35688.43
4,2026-08-07,49883.44,207,34570.92
4,2026-08-08,59892.18,249,36199.05
4,2026-08-09,55926.58,233,33922.77
4,2026-08-10,45989.87,191,29551.24
4,2026-08-11,46951.55,195,27476.69
4,2026-08-12,47086.01,196,31849.79
4,2026-08-13,46431.28,193,27599.78
4,2026-08-14,53278.85,221,30941.23
4,2026-08-15,61525.81,256,35987.48
4,2026-08-16,50698.85,211,34891.32
4,2026-08-17,51890.88,216,34197.09
4,2026-08-18,49079.08,204,32385.02
4,2026-08-19,45873.98,191,27045.33
4,2026-08-20,46172.9,192,31233.87
4,2026-08-21,51123.55,213,36241.22
4,2026-08-22,59895.43,249,43420.82
4,2026-08-23,58118.68,242,36397.6
4,2026-08-24,48972.42,204,29581.21
4,2026-08-25,49956.07,208,30267.34
4,2026-08-26,43110.57,179,30404.15
4,2026-08-27,46347.16,193,32073.02
4,2026-08-28,48924.77,203,34206.02
4,2026-08-29,61722.89,257,44806.34
